geoid,name,B02001001,"B02001001, Error",B02001002,"B02001002, Error",B02001003,"B02001003, Error",B02001004,"B02001004, Error",B02001005,"B02001005, Error",B02001006,"B02001006, Error",B02001007,"B02001007, Error",B02001008,"B02001008, Error",B02001009,"B02001009, Error",B02001010,"B02001010, Error"
86000US14614,"14614",1126,316,403,183,589,177,11,19,11,21,0,13,23,52,89,49,74,51,15,17
86000US14615,"14615",18393,1546,9331,1206,5975,1006,9,15,758,428,0,21,1127,470,1193,334,495,225,698,284
86000US14616,"14616",27250,1713,19769,1352,3612,1035,155,112,697,620,0,25,1090,445,1927,577,717,300,1210,443
86000US14617,"14617",21990,892,19564,900,864,314,10,12,119,70,0,25,256,164,1177,370,601,298,576,255
86000US14618,"14618",23783,1298,19358,1231,1210,413,62,49,1866,504,0,25,73,52,1214,296,468,179,746,261
86000US14619,"14619",14073,1280,3489,596,9412,1104,5,8,248,177,0,21,136,100,783,266,178,118,605,219
86000US14620,"14620",24292,1146,17130,1164,2641,502,42,33,2225,412,2,6,849,452,1403,372,405,193,998,329
86000US14621,"14621",32976,1675,9497,1053,14227,1303,297,185,468,202,140,165,5038,1002,3309,576,1227,289,2082,493
86000US14622,"14622",12770,899,10167,810,785,374,6,8,741,382,52,60,270,174,749,243,186,119,563,218
86000US14623,"14623",25958,1130,17430,909,2757,430,41,48,4049,716,5,9,136,105,1540,404,598,212,942,373
86000US14624,"14624",39028,1350,31593,1434,3839,799,41,34,946,433,0,28,611,286,1998,435,741,236,1257,356
86000US14625,"14625",10445,863,9447,836,169,122,19,20,154,106,0,21,93,99,563,222,270,152,293,160
86000US14626,"14626",29138,1602,24009,1579,2110,501,9,11,1094,335,0,25,452,249,1464,345,590,271,874,245
86000US14627,"14627",2892,54,1848,205,285,120,0,13,540,207,0,13,35,32,184,95,127,92,57,39
86000US14642,"14642",0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14701,"14701",39481,808,35058,1041,921,218,53,43,309,144,10,17,1348,482,1782,331,663,236,1119,228
86000US14706,"14706",6051,267,5328,301,190,122,129,52,127,84,0,19,4,8,273,115,88,67,185,89
86000US14707,"14707",93,47,93,47,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
86000US14708,"14708",155,86,131,82,0,13,0,13,0,13,0,13,17,19,7,10,7,10,0,13
86000US14709,"14709",1240,147,1185,139,10,14,0,13,20,15,0,13,5,6,20,15,19,15,1,3
86000US14710,"14710",3125,322,3031,302,0,13,29,39,0,13,0,13,0,13,65,54,31,24,34,45
86000US14711,"14711",1943,324,1915,326,1,3,2,3,1,2,0,13,0,13,24,17,8,9,16,14
